transaction_id,user_id,transaction_amount,transaction_time,transaction_type,merchant_category,is_fraud
0,625,6417.253003690155,2024-06-14 14:57:50.976357,payment,electronics,0
1,797,6730.874367917024,2024-06-14 14:58:50.976357,payment,travel,0
2,250,1654.9234538174915,2024-06-14 14:59:50.976357,transfer,travel,0
3,527,9307.240590797994,2024-06-14 15:00:50.976357,withdrawal,entertainment,0
4,766,4496.84333027779,2024-06-14 15:01:50.976357,purchase,travel,0
5,660,7757.098341500301,2024-06-14 15:02:50.976357,payment,electronics,0
6,649,8643.164824796952,2024-06-14 15:03:50.976357,withdrawal,clothing,0
7,231,5174.867686218769,2024-06-14 15:04:50.976357,withdrawal,clothing,0
8,577,2083.972457659429,2024-06-14 15:05:50.976357,purchase,entertainment,0
9,345,9430.453060777201,2024-06-14 15:06:50.976357,withdrawal,travel,0
10,504,566.5784619414953,2024-06-14 15:07:50.976357,purchase,travel,0
11,633,3108.194846915295,2024-06-14 15:08:50.976357,withdrawal,groceries,0
12,207,3814.8766426345605,2024-06-14 15:09:50.976357,withdrawal,clothing,0
13,357,1911.4602763047735,2024-06-14 15:10:50.976357,withdrawal,clothing,0
14,107,6089.455943217122,2024-06-14 15:11:50.976357,payment,electronics,0
15,469,4954.469900532021,2024-06-14 15:12:50.976357,payment,clothing,0
16,816,8591.315400785119,2024-06-14 15:13:50.976357,withdrawal,electronics,0
17,494,4229.19160943105,2024-06-14 15:14:50.976357,payment,groceries,0
18,172,8579.806088472515,2024-06-14 15:15:50.976357,withdrawal,entertainment,1
19,958,3656.9770399396375,2024-06-14 15:16:50.976357,withdrawal,groceries,1
20,369,5491.970759750771,2024-06-14 15:17:50.976357,transfer,entertainment,0
21,826,3802.4182594665745,2024-06-14 15:18:50.976357,purchase,electronics,0
22,357,3983.6052063329844,2024-06-14 15:19:50.976357,payment,electronics,0
23,493,9550.144088414867,2024-06-14 15:20:50.976357,transfer,entertainment,0
24,606,765.4565017023109,2024-06-14 15:21:50.976357,payment,clothing,0
25,789,8768.71356528037,2024-06-14 15:22:50.976357,transfer,groceries,0
26,696,7452.431902077937,2024-06-14 15:23:50.976357,purchase,entertainment,0
27,325,363.63489107225394,2024-06-14 15:24:50.976357,payment,travel,0
28,406,1907.2975197908002,2024-06-14 15:25:50.976357,payment,groceries,0
29,500,5848.93604561251,2024-06-14 15:26:50.976357,transfer,clothing,0
30,191,9964.550550975904,2024-06-14 15:27:50.976357,transfer,clothing,0
31,825,301.1489605763428,2024-06-14 15:28:50.976357,transfer,travel,0
32,464,1611.2848052674324,2024-06-14 15:29:50.976357,purchase,clothing,0
33,901,7481.8989044750315,2024-06-14 15:30:50.976357,purchase,travel,0
34,185,2045.7718594250175,2024-06-14 15:31:50.976357,payment,travel,0
35,223,1786.675503320957,2024-06-14 15:32:50.976357,withdrawal,travel,0
