transaction_id,user_id,transaction_amount,transaction_time,transaction_type,merchant_category,is_fraud
0,625,6438.04,2024-06-14 14:57:50.976357,payment,electronics,0
1,797,6736.9,2024-06-14 14:58:50.976357,payment,travel,0
2,250,1661.58,2024-06-14 14:59:50.976357,transfer,travel,0
3,527,9292.7,2024-06-14 15:00:50.976357,withdrawal,entertainment,0
4,766,4505.92,2024-06-14 15:01:50.976357,purchase,travel,0
5,660,7757.33,2024-06-14 15:02:50.976357,payment,electronics,0
6,649,8641.23,2024-06-14 15:03:50.976357,withdrawal,clothing,0
7,231,5178.39,2024-06-14 15:04:50.976357,withdrawal,clothing,0
8,577,2066.03,2024-06-14 15:05:50.976357,purchase,entertainment,0
9,345,9423.47,2024-06-14 15:06:50.976357,withdrawal,travel,0
10,504,565.84,2024-06-14 15:07:50.976357,purchase,travel,0
11,633,3106.41,2024-06-14 15:08:50.976357,withdrawal,groceries,0
12,207,3815.95,2024-06-14 15:09:50.976357,withdrawal,clothing,0
13,357,1912.9,2024-06-14 15:10:50.976357,withdrawal,clothing,0
14,107,6075.26,2024-06-14 15:11:50.976357,payment,electronics,0
15,469,4942.74,2024-06-14 15:12:50.976357,payment,clothing,0
16,816,8577.7,2024-06-14 15:13:50.976357,withdrawal,electronics,0
17,494,4209.76,2024-06-14 15:14:50.976357,payment,groceries,0
18,172,8577.49,2024-06-14 15:15:50.976357,withdrawal,entertainment,1
19,958,3662.14,2024-06-14 15:16:50.976357,withdrawal,groceries,1
20,369,5493.92,2024-06-14 15:17:50.976357,transfer,entertainment,0
21,826,3813.24,2024-06-14 15:18:50.976357,purchase,electronics,0
22,357,3978.94,2024-06-14 15:19:50.976357,payment,electronics,0
23,493,9533.72,2024-06-14 15:20:50.976357,transfer,entertainment,0
24,606,742.71,2024-06-14 15:21:50.976357,payment,clothing,0
25,789,8757.95,2024-06-14 15:22:50.976357,transfer,groceries,0
26,696,7459.8,2024-06-14 15:23:50.976357,purchase,entertainment,0
27,325,362.69,2024-06-14 15:24:50.976357,payment,travel,0
28,406,1908.73,2024-06-14 15:25:50.976357,payment,groceries,0
29,500,5848.18,2024-06-14 15:26:50.976357,transfer,clothing,0
30,191,9961.51,2024-06-14 15:27:50.976357,transfer,clothing,0
31,825,294.98,2024-06-14 15:28:50.976357,transfer,travel,0
32,464,1649.17,2024-06-14 15:29:50.976357,purchase,clothing,0
33,901,7479.04,2024-06-14 15:30:50.976357,purchase,travel,0
34,185,2051.43,2024-06-14 15:31:50.976357,payment,travel,0
35,223,1773.46,2024-06-14 15:32:50.976357,withdrawal,travel,0
36,679,6760.76,2024-06-14 15:33:50.976357,payment,groceries,0
37,223,3962.42,2024-06-14 15:34:50.976357,transfer,groceries,0
38,971,8021.39,2024-06-14 15:35:50.976357,purchase,groceries,0
39,731,6375.06,2024-06-14 15:36:50.976357,transfer,groceries,0
40,193,2538.35,2024-06-14 15:37:50.976357,payment,electronics,0
41,196,6445.62,2024-06-14 15:38:50.976357,payment,groceries,0
42,353,945.48,2024-06-14 15:39:50.976357,transfer,travel,0
43,786,7109.56,2024-06-14 15:40:50.976357,withdrawal,entertainment,0
44,517,5998.85,2024-06-14 15:41:50.976357,withdrawal,groceries,0
45,910,2090.75,2024-06-14 15:42:50.976357,purchase,entertainment,0
46,263,5591.15,2024-06-14 15:43:50.976357,withdrawal,electronics,0
47,909,8765.3,2024-06-14 15:44:50.976357,transfer,clothing,0
48,962,5622.34,2024-06-14 15:45:50.976357,withdrawal,clothing,0
49,912,4507.95,2024-06-14 15:46:50.976357,purchase,electronics,0
50,603,2144.0,2024-06-14 15:47:50.976357,transfer,clothing,0
51,176,2077.58,2024-06-14 15:48:50.976357,withdrawal,entertainment,0
52,690,3498.54,2024-06-14 15:49:50.976357,withdrawal,entertainment,0
53,195,6939.75,2024-06-14 15:50:50.976357,payment,groceries,0
54,276,7624.99,2024-06-14 15:51:50.976357,payment,groceries,0
55,216,7499.03,2024-06-14 15:52:50.976357,withdrawal,clothing,0
56,933,9665.07,2024-06-14 15:53:50.976357,withdrawal,clothing,1
57,689,5885.54,2024-06-14 15:54:50.976357,withdrawal,travel,1
58,118,7005.68,2024-06-14 15:55:50.976357,transfer,groceries,0
59,653,8599.05,2024-06-14 15:56:50.976357,payment,groceries,0
60,652,9780.79,2024-06-14 15:57:50.976357,purchase,groceries,0
61,543,745.41,2024-06-14 15:58:50.976357,withdrawal,clothing,0
62,941,1043.79,2024-06-14 15:59:50.976357,transfer,entertainment,0
63,201,5039.46,2024-06-14 16:00:50.976357,payment,entertainment,0
64,616,9945.79,2024-06-14 16:01:50.976357,transfer,travel,1
65,195,2453.71,2024-06-14 16:02:50.976357,purchase,clothing,0
66,161,2493.94,2024-06-14 16:03:50.976357,withdrawal,entertainment,0
67,352,4408.89,2024-06-14 16:04:50.976357,payment,travel,0
68,780,9013.93,2024-06-14 16:05:50.976357,purchase,electronics,0
